STATEFIPS,STATE,ZIPCODE,AGI_STUB,N1,MARS1,MARS2,A00100
21,KY,42058,0,1030,400,480,45942
21,KY,42064,0,3150,1230,1520,137886
21,KY,42066,0,9220,3450,3930,407093
21,KY,42069,0,450,170,240,23056
21,KY,42071,0,11530,5260,4770,545771
21,KY,42076,0,410,160,200,17869
21,KY,42078,0,710,290,340,31340
21,KY,42079,0,550,190,280,24899
21,KY,42081,0,860,350,420,41699
21,KY,42082,0,820,300,440,39341
21,KY,42083,0,150,70,80,6544
21,KY,42085,0,350,120,190,12674
21,KY,42086,0,1840,700,920,103970
21,KY,42087,0,920,330,460,44885
21,KY,42088,0,1090,400,560,45911
21,KY,42101,0,22390,10750,6960,777377
21,KY,42103,0,9200,4090,4100,732288
21,KY,42104,0,14720,6670,6150,852951
21,KY,42120,0,890,330,420,30430
21,KY,42122,0,2000,680,1140,139191
21,KY,42123,0,320,100,180,12501
21,KY,42127,0,2590,1050,1100,97965
21,KY,42129,0,2620,1000,1240,87803
21,KY,42133,0,540,200,260,19971
21,KY,42134,0,7340,3170,2910,312655
21,KY,42140,0,480,170,210,15862
21,KY,42141,0,12730,5030,5640,577611
21,KY,42154,0,280,90,140,9413
21,KY,42156,0,140,50,70,5360
21,KY,42157,0,160,70,80,4596
21,KY,42159,0,580,230,260,26583
21,KY,42160,0,810,320,390,28626
21,KY,42164,0,6490,2590,2920,261309
21,KY,42166,0,870,340,430,30448
21,KY,42167,0,3070,1180,1420,120576
21,KY,42170,0,680,280,330,31586
21,KY,42171,0,2850,1040,1410,127912
21,KY,42202,0,1030,360,530,50102
21,KY,42204,0,290,110,130,15989
21,KY,42206,0,2350,870,1080,105504
21,KY,42207,0,460,170,240,16277
21,KY,42210,0,1680,640,820,64022
21,KY,42211,0,5500,2120,2510,249535
21,KY,42214,0,270,90,160,9094
21,KY,42215,0,510,190,250,23945
21,KY,42217,0,1550,590,730,67359
21,KY,42220,0,2570,970,1140,115278
21,KY,42223,0,5460,2700,2380,147869
21,KY,42232,0,340,130,180,17977
21,KY,42234,0,840,340,310,35386
21,KY,42236,0,390,140,200,22451
21,KY,42240,0,17650,7320,6260,795226
21,KY,42254,0,110,50,50,3751
21,KY,42256,0,1860,700,960,82792
